viajero_id,fecha_llegada,tipo_viajero,edad,tamaño_grupo,duracion_estancia,gasto_total,gasto_diario_promedio,gasto_alimentacion,gasto_hospedaje,gasto_actividades,actividades_preferidas,factor_estacional,mes,año,temporada
viajero_000065,2025-11-02,gastronomico,26,2,2,7452.45,3726.23,4362.72,2303.11,786.63,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.012,11,2025,otoño
viajero_000066,2022-02-27,negocios,46,1,1,4042.23,4042.23,1122.87,2358.84,560.52,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.155,2,2022,invierno
viajero_000067,2023-01-12,negocios,34,3,2,18943.22,9471.61,7036.07,10481.88,1425.27,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.075,1,2023,invierno
viajero_000068,2024-01-02,aventura,34,1,5,3657.26,731.45,1311.78,1105.86,1239.63,"deportes_extremos,senderismo,tours_naturaleza",0.66,1,2024,invierno
viajero_000069,2021-11-30,romantico,25,2,2,10187.76,5093.88,3586.29,3409.07,3192.39,"hoteles_boutique,restaurantes_romanticos,spas",0.82,11,2021,otoño
viajero_000070,2020-02-27,negocios,33,1,2,10789.16,5394.58,3465.83,5141.09,2182.23,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.1,2,2020,invierno
viajero_000071,2020-12-13,wellness,51,1,6,45078.95,7513.16,13954.06,16547.6,14577.29,"spas,yoga,retiros_wellness",1.3,12,2020,invierno
viajero_000072,2020-11-06,familiar,35,5,6,54269.92,9044.99,21509.42,21498.8,11261.69,"parques_tematicos,museos,playas,restaurantes_familiares",0.8,11,2020,otoño
viajero_000073,2024-04-09,aventura,20,4,10,40219.16,4021.92,10692.25,15931.77,13595.13,"deportes_extremos,senderismo,tours_naturaleza",1.21,4,2024,primavera
viajero_000074,2025-02-27,familiar,26,5,5,59229.98,11846.0,20433.07,19802.61,18994.31,"parques_tematicos,museos,playas,restaurantes_familiares",0.787,2,2025,invierno
viajero_000075,2025-11-18,aventura,39,1,11,15532.26,1412.02,4202.51,5906.86,5422.89,"deportes_extremos,senderismo,tours_naturaleza",0.787,11,2025,otoño
viajero_000076,2025-10-13,negocios,53,1,1,4014.86,4014.86,1540.96,2373.05,100.85,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.463,10,2025,otoño
viajero_000077,2020-01-17,cultural,30,2,4,16787.36,4196.84,6075.87,6695.73,4015.77,"museos,sitios_historicos,tours_culturales,teatros",0.8,1,2020,invierno
viajero_000078,2021-02-11,familiar,41,3,6,24156.1,4026.02,8302.44,8630.76,7222.9,"parques_tematicos,museos,playas,restaurantes_familiares",0.717,2,2021,invierno
viajero_000079,2022-08-20,familiar,28,4,3,52450.56,17483.52,16070.8,20063.06,16316.7,"parques_tematicos,museos,playas,restaurantes_familiares",1.785,8,2022,verano
viajero_000080,2025-06-26,familiar,43,4,3,52407.67,17469.22,17343.45,21444.8,13619.42,"parques_tematicos,museos,playas,restaurantes_familiares",1.688,6,2025,verano
viajero_000081,2022-02-08,familiar,39,5,4,36995.8,9248.95,13280.35,16602.66,7112.78,"parques_tematicos,museos,playas,restaurantes_familiares",0.735,2,2022,invierno
viajero_000082,2024-02-15,negocios,37,1,2,6081.64,3040.82,2320.13,3644.52,116.98,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.21,2,2024,invierno
viajero_000083,2025-12-19,negocios,31,3,2,21075.29,10537.65,7163.6,10968.2,2943.49,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.012,12,2025,invierno
viajero_000084,2020-02-29,negocios,41,1,2,9545.28,4772.64,3096.73,4158.41,2290.15,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.1,2,2020,invierno
viajero_000085,2021-02-02,negocios,41,2,2,20652.38,10326.19,7649.57,10153.48,2849.33,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.127,2,2021,invierno
viajero_000086,2024-06-13,familiar,31,5,4,58433.37,14608.34,16991.98,24186.14,17255.25,"parques_tematicos,museos,playas,restaurantes_familiares",1.65,6,2024,verano
viajero_000087,2024-06-29,gastronomico,30,4,3,55556.52,18518.84,29160.79,20787.7,5608.03,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.54,6,2024,verano
viajero_000088,2025-08-30,familiar,27,5,4,71375.68,17843.92,26320.14,27288.76,17766.78,"parques_tematicos,museos,playas,restaurantes_familiares",1.912,8,2025,verano
viajero_000089,2024-06-21,familiar,30,4,3,55478.55,18492.85,16617.62,22941.09,15919.85,"parques_tematicos,museos,playas,restaurantes_familiares",1.65,6,2024,verano
viajero_000090,2024-08-05,familiar,45,5,6,186164.51,31027.42,54559.36,77989.55,53615.59,"parques_tematicos,museos,playas,restaurantes_familiares",1.87,8,2024,verano
viajero_000091,2021-04-29,aventura,28,3,8,26217.18,3277.15,10024.47,11025.39,5167.33,"deportes_extremos,senderismo,tours_naturaleza",1.127,4,2021,primavera
viajero_000092,2023-02-26,negocios,50,1,2,9030.75,4515.38,2683.51,4463.3,1883.94,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.183,2,2023,invierno
viajero_000093,2023-10-19,negocios,48,1,2,12155.95,6077.98,4387.01,5120.92,2648.02,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.397,10,2023,otoño
viajero_000094,2021-04-27,cultural,57,3,9,89709.76,9967.75,29968.99,28406.46,31334.32,"museos,sitios_historicos,tours_culturales,teatros",1.23,4,2021,primavera
viajero_000095,2020-05-21,gastronomico,32,2,3,28210.92,9403.64,11919.57,11441.02,4850.33,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.2,5,2020,primavera
viajero_000096,2025-01-26,familiar,41,4,3,31973.32,10657.77,9361.58,11650.35,10961.38,"parques_tematicos,museos,playas,restaurantes_familiares",0.9,1,2025,invierno
viajero_000097,2022-02-17,deportivo,37,1,6,8391.72,1398.62,2656.04,3281.7,2453.99,"actividades_deportivas,gimnasios,competencias",0.735,2,2022,invierno
viajero_000098,2024-04-22,aventura,38,4,7,63348.01,9049.72,21752.31,23468.0,18127.7,"deportes_extremos,senderismo,tours_naturaleza",1.21,4,2024,primavera
viajero_000099,2023-12-26,familiar,41,3,7,68826.88,9832.41,22445.26,29673.57,16708.06,"parques_tematicos,museos,playas,restaurantes_familiares",1.505,12,2023,invierno
viajero_000100,2021-01-31,cultural,48,3,6,17748.96,2958.16,5459.15,6539.35,5750.46,"museos,sitios_historicos,tours_culturales,teatros",0.82,1,2021,invierno
viajero_000101,2021-08-16,familiar,39,3,3,34875.37,11625.12,11512.19,11206.17,12157.01,"parques_tematicos,museos,playas,restaurantes_familiares",1.742,8,2021,verano
viajero_000102,2023-01-09,cultural,41,3,7,41682.27,5954.61,15562.63,17866.45,8253.19,"museos,sitios_historicos,tours_culturales,teatros",0.86,1,2023,invierno
viajero_000103,2022-11-30,negocios,35,3,3,29619.47,9873.16,7854.76,16866.15,4898.56,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.26,11,2022,otoño
viajero_000104,2023-11-16,negocios,47,1,3,13392.2,4464.07,3581.35,7917.25,1893.6,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.29,11,2023,otoño
viajero_000105,2024-09-27,deportivo,28,1,2,4878.92,2439.46,1827.66,1862.4,1188.86,"actividades_deportivas,gimnasios,competencias",1.21,9,2024,otoño
viajero_000106,2024-06-15,aventura,22,1,8,23611.9,2951.49,7526.76,7218.09,8867.04,"deportes_extremos,senderismo,tours_naturaleza",1.76,6,2024,verano
viajero_000107,2024-02-19,familiar,41,3,4,22941.41,5735.35,7807.36,8917.58,6216.47,"parques_tematicos,museos,playas,restaurantes_familiares",0.77,2,2024,invierno
viajero_000108,2022-06-21,lujo,43,4,5,359475.85,71895.17,102763.92,201625.49,55086.44,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.47,6,2022,verano
viajero_000109,2021-11-26,aventura,34,3,12,25091.79,2090.98,6565.2,9061.43,9465.15,"deportes_extremos,senderismo,tours_naturaleza",0.717,11,2021,otoño
viajero_000110,2021-02-17,familiar,35,5,5,44866.15,8973.23,13942.85,19557.9,11365.4,"parques_tematicos,museos,playas,restaurantes_familiares",0.717,2,2021,invierno
viajero_000111,2024-05-07,gastronomico,41,1,4,17797.27,4449.32,9878.72,6063.73,1854.82,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.32,5,2024,primavera
viajero_000112,2025-05-04,familiar,42,4,5,50795.39,10159.08,19119.73,17626.11,14049.55,"parques_tematicos,museos,playas,restaurantes_familiares",1.238,5,2025,primavera
viajero_000113,2022-03-29,negocios,44,1,3,15836.76,5278.92,5088.53,8343.88,2404.35,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.26,3,2022,primavera
viajero_000114,2023-08-09,familiar,29,4,6,141137.68,23522.95,36045.27,50698.09,54394.33,"parques_tematicos,museos,playas,restaurantes_familiares",1.827,8,2023,verano
viajero_000115,2022-02-14,cultural,47,3,6,32429.7,5404.95,12723.04,9881.76,9824.9,"museos,sitios_historicos,tours_culturales,teatros",0.735,2,2022,invierno
viajero_000116,2021-01-21,negocios,44,3,3,45571.82,15190.61,14933.62,21401.4,9236.81,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.025,1,2021,invierno
viajero_000117,2025-08-21,familiar,35,3,6,71682.78,11947.13,28567.83,24076.37,19038.58,"parques_tematicos,museos,playas,restaurantes_familiares",1.912,8,2025,verano
viajero_000118,2025-01-21,deportivo,37,3,2,13073.9,6536.95,4690.23,4978.83,3404.85,"actividades_deportivas,gimnasios,competencias",0.9,1,2025,invierno
viajero_000119,2020-06-07,cultural,55,1,6,21369.63,3561.61,8111.79,7953.78,5304.07,"museos,sitios_historicos,tours_culturales,teatros",1.3,6,2020,verano
viajero_000120,2021-05-07,familiar,25,3,5,58555.94,11711.19,22927.88,26000.03,9628.03,"parques_tematicos,museos,playas,restaurantes_familiares",1.127,5,2021,primavera
viajero_000121,2020-09-01,lujo,68,3,3,113614.95,37871.65,30424.81,57141.13,26049.01,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.2,9,2020,otoño
viajero_000122,2022-08-01,familiar,29,5,3,91294.56,30431.52,36414.33,32678.75,22201.48,"parques_tematicos,museos,playas,restaurantes_familiares",1.785,8,2022,verano
viajero_000123,2021-11-23,negocios,31,2,2,14455.23,7227.61,4379.32,8366.96,1708.95,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.23,11,2021,otoño
viajero_000124,2021-07-05,negocios,41,3,3,25172.34,8390.78,9407.36,12665.0,3099.97,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.82,7,2021,verano
viajero_000125,2020-10-05,lujo,65,2,8,258164.81,32270.6,86444.56,125087.52,46632.73,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.1,10,2020,otoño
viajero_000126,2020-11-01,mochilero,22,2,12,13288.66,1107.39,4043.16,3254.67,5990.83,"hostales,transporte_publico,comida_local",0.9,11,2020,otoño
viajero_000127,2023-02-08,cultural,50,1,5,9634.84,1926.97,2580.51,3995.64,3058.69,"museos,sitios_historicos,tours_culturales,teatros",0.752,2,2023,invierno
viajero_000128,2025-03-18,aventura,20,1,8,6602.52,825.32,1767.98,2933.02,1901.52,"deportes_extremos,senderismo,tours_naturaleza",0.9,3,2025,primavera
viajero_000129,2024-02-15,lujo,50,3,8,174983.17,21872.9,47095.46,84399.82,43487.89,"hoteles_lujo,restaurantes_exclusivos,spas_premium",1.1,2,2024,invierno
viajero_000130,2021-05-31,cultural,43,1,3,4687.83,1562.61,1180.03,1722.86,1784.94,"museos,sitios_historicos,tours_culturales,teatros",1.127,5,2021,primavera
viajero_000131,2020-07-20,familiar,30,4,7,115679.33,16525.62,45428.83,39862.36,30388.14,"parques_tematicos,museos,playas,restaurantes_familiares",1.8,7,2020,verano
viajero_000132,2022-08-07,cultural,48,4,8,89160.05,11145.01,34848.97,26837.38,27473.7,"museos,sitios_historicos,tours_culturales,teatros",1.365,8,2022,verano
viajero_000133,2023-06-25,aventura,21,2,5,26500.02,5300.0,9833.58,11373.75,5292.68,"deportes_extremos,senderismo,tours_naturaleza",1.72,6,2023,verano
viajero_000134,2021-10-05,negocios,36,1,1,5792.12,5792.12,2032.63,2410.85,1348.63,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.333,10,2021,otoño
viajero_000135,2023-08-20,negocios,45,2,3,16112.86,5370.95,6139.94,8501.0,1471.92,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.752,8,2023,verano
viajero_000136,2022-01-11,negocios,31,1,1,3695.04,3695.04,1209.99,2059.26,425.79,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.05,1,2022,invierno
viajero_000137,2025-08-30,cultural,32,1,6,22162.92,3693.82,8669.43,9562.15,3931.35,"museos,sitios_historicos,tours_culturales,teatros",1.463,8,2025,verano
viajero_000138,2023-05-21,mochilero,23,1,16,14609.88,913.12,4818.09,3344.83,6446.95,"hostales,transporte_publico,comida_local",1.29,5,2023,primavera
viajero_000139,2024-06-17,familiar,25,4,3,34389.24,11463.08,12486.04,14812.14,7091.06,"parques_tematicos,museos,playas,restaurantes_familiares",1.65,6,2024,verano
viajero_000140,2025-05-13,cultural,30,1,7,23983.84,3426.26,8195.29,10279.38,5509.16,"museos,sitios_historicos,tours_culturales,teatros",1.238,5,2025,primavera
viajero_000141,2020-09-07,negocios,42,2,1,7713.05,7713.05,2253.23,3406.02,2053.8,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.2,9,2020,otoño
viajero_000142,2025-03-10,wellness,49,1,6,16151.1,2691.85,4956.51,6859.46,4335.13,"spas,yoga,retiros_wellness",1.012,3,2025,primavera
viajero_000143,2023-07-03,negocios,55,1,1,2902.94,2902.94,794.83,1311.1,797.01,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.86,7,2023,verano
viajero_000144,2022-09-17,aventura,23,2,10,53914.2,5391.42,21230.05,19660.52,13023.64,"deportes_extremos,senderismo,tours_naturaleza",1.47,9,2022,otoño
viajero_000145,2025-10-10,cultural,32,2,8,49789.81,6223.73,15912.75,16908.65,16968.41,"museos,sitios_historicos,tours_culturales,teatros",1.238,10,2025,otoño
viajero_000146,2021-02-08,gastronomico,39,1,3,8604.76,2868.25,3857.51,2633.51,2113.74,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",0.717,2,2021,invierno
viajero_000147,2025-03-19,wellness,40,3,5,58731.24,11746.25,21140.34,23575.83,14015.07,"spas,yoga,retiros_wellness",1.012,3,2025,primavera
viajero_000148,2021-07-26,negocios,47,1,2,7630.29,3815.14,2630.51,3135.12,1864.65,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",0.82,7,2021,verano
viajero_000149,2021-07-24,cultural,39,2,6,21191.48,3531.91,6850.66,7634.93,6705.89,"museos,sitios_historicos,tours_culturales,teatros",1.435,7,2021,verano
viajero_000150,2025-01-31,aventura,25,2,14,35100.47,2507.18,13001.07,15780.67,6318.73,"deportes_extremos,senderismo,tours_naturaleza",0.675,1,2025,invierno
viajero_000151,2025-01-02,mochilero,24,2,13,18141.69,1395.51,7183.41,4098.74,6859.54,"hostales,transporte_publico,comida_local",0.9,1,2025,invierno
viajero_000152,2025-01-05,familiar,36,5,5,47361.56,9472.31,16225.26,15316.59,15819.71,"parques_tematicos,museos,playas,restaurantes_familiares",0.9,1,2025,invierno
viajero_000153,2021-04-30,romantico,35,2,2,15038.93,7519.46,5766.34,5349.65,3922.93,"hoteles_boutique,restaurantes_romanticos,spas",1.025,4,2021,primavera
viajero_000154,2023-01-10,negocios,36,1,2,6052.26,3026.13,1850.94,3221.82,979.5,"hoteles_ejecutivos,centros_convenciones,restaurantes_formales",1.075,1,2023,invierno
viajero_000155,2023-12-16,gastronomico,54,3,3,42824.13,14274.71,21583.99,16200.07,5040.07,"restaurantes_gourmet,tours_gastronomicos,mercados_locales",1.397,12,2023,invierno
viajero_000156,2021-01-17,familiar,37,3,4,21672.0,5418.0,7890.48,7003.82,6777.7,"parques_tematicos,museos,playas,restaurantes_familiares",0.82,1,2021,invierno
viajero_000157,2021-12-22,aventura,26,1,6,6946.18,1157.7,2204.41,2331.29,2410.48,"deportes_extremos,senderismo,tours_naturaleza",0.82,12,2021,invierno
